logz logzerr logvol nlive logl logwt insert_order
-2.258468252142866841e+05 1.641497323498798323e+03 -2.100000000000001310e-01 4.000000000000000000e+02 -2.252024687500000000e+05 -2.252086714642866864e+05 nan
-2.252086714642866864e+05 3.656286701707196016e+02 -2.125000000000001332e-01 4.000000000000000000e+02 -2.238065000000000000e+05 -2.238127052142866887e+05 nan
-2.238127052142866887e+05 7.884226110648668282e+02 -2.150000000000001354e-01 4.000000000000000000e+02 -2.207604375000000000e+05 -2.207666452142866910e+05 nan
-2.207666452142866910e+05 1.974163949083928173e+03 -2.175000000000001377e-01 4.000000000000000000e+02 -2.204141875000000000e+05 -2.204203977142866934e+05 nan
-2.204203977142866934e+05 1.631017454802538111e+02 -2.200000000000001399e-01 4.000000000000000000e+02 -2.191937656250000000e+05 -2.191999783392866957e+05 nan
-2.191999783392866957e+05 6.639291799421617952e+02 -2.225000000000001421e-01 4.000000000000000000e+02 -2.147790625000000000e+05 -2.147852777142866980e+05 nan
-2.147852777142866980e+05 2.299039928450527441e+03 -2.250000000000001443e-01 4.000000000000000000e+02 -2.143588437500000000e+05 -2.143650614642867004e+05 nan
-2.143650614642867004e+05 2.064498263371311623e+03 -2.275000000000001465e-01 4.000000000000000000e+02 -2.117271562500000000e+05 -2.117333764642867027e+05 nan
-2.117333764642867027e+05 2.174721529473762985e+03 -2.300000000000001488e-01 4.000000000000000000e+02 -2.094811875000000000e+05 -2.094874102142867050e+05 nan
-2.094874102142867050e+05 3.033466036935677494e+03 -2.325000000000001510e-01 4.000000000000000000e+02 -2.087540937500000000e+05 -2.087603189642866782e+05 nan
-2.087603189642866782e+05 1.627193268873724492e+03 -2.350000000000001532e-01 4.000000000000000000e+02 -2.085533437500000000e+05 -2.085595714642866806e+05 nan
-2.085595714642866806e+05 3.392029915991269036e+02 -2.375000000000001554e-01 4.000000000000000000e+02 -2.084340625000000000e+05 -2.084402927142866829e+05 nan
-2.084402927142866829e+05 9.364415547745309709e+01 -2.400000000000001577e-01 4.000000000000000000e+02 -2.083551093750000000e+05 -2.083613420892866852e+05 nan
-2.083613420892866852e+05 1.076201706407213834e+02 -2.425000000000001599e-01 4.000000000000000000e+02 -2.077850000000000000e+05 -2.077912352142866876e+05 nan
-2.077912352142866876e+05 2.422063492792363206e+02 -2.450000000000001621e-01 4.000000000000000000e+02 -2.058457343750000000e+05 -2.058519720892866899e+05 nan
-2.058519720892866899e+05 1.038670153660178585e+03 -2.475000000000001643e-01 4.000000000000000000e+02 -2.056917031250000000e+05 -2.056979433392866922e+05 nan
-2.056979433392866922e+05 7.759948325389368620e+02 -2.500000000000001665e-01 4.000000000000000000e+02 -2.032848593750000000e+05 -2.032911020892866945e+05 nan
-2.032911020892866945e+05 1.477617384780632165e+03 -2.525000000000001688e-01 4.000000000000000000e+02 -2.026630000000000000e+05 -2.026692452142866969e+05 nan
-2.026692452142866969e+05 8.346343972004362968e+02 -2.550000000000001710e-01 4.000000000000000000e+02 -2.007563125000000000e+05 -2.007625602142866992e+05 nan
-2.007625602142866992e+05 8.257713754808654585e+02 -2.575000000000001732e-01 4.000000000000000000e+02 -2.001223437500000000e+05 -2.001285939642867015e+05 nan
-2.001285939642867015e+05 8.780685112483522516e+02 -2.600000000000001754e-01 4.000000000000000000e+02 -1.994750000000000000e+05 -1.994812527142867038e+05 nan
-1.994812527142867038e+05 1.001394356353897933e+03 -2.625000000000001776e-01 4.000000000000000000e+02 -1.991678125000000000e+05 -1.991740677142866771e+05 nan
-1.991740677142866771e+05 9.663391810186599287e+02 -2.650000000000001799e-01 4.000000000000000000e+02 -1.975976875000000000e+05 -1.976039452142866794e+05 nan
-1.976039452142866794e+05 8.484139252688503348e+02 -2.675000000000001821e-01 4.000000000000000000e+02 -1.975744062500000000e+05 -1.975806664642866817e+05 nan
-1.975806664642865944e+05 5.919601348276469253e+02 -2.700000000000001843e-01 4.000000000000000000e+02 -1.968742812500000000e+05 -1.968805439642866841e+05 nan
-1.968805439642866841e+05 6.426436970205079433e+02 -2.725000000000001865e-01 4.000000000000000000e+02 -1.933047968750000000e+05 -1.933110620892866864e+05 nan
-1.933110620892866864e+05 2.035344481491853912e+03 -2.750000000000001887e-01 4.000000000000000000e+02 -1.930308125000000000e+05 -1.930370802142866887e+05 nan
-1.930370802142866887e+05 1.285770686450730125e+02 -2.775000000000001910e-01 4.000000000000000000e+02 -1.919581406250000000e+05 -1.919644108392866910e+05 nan
-1.919644108392866910e+05 5.953666553318437309e+02 -2.800000000000001932e-01 4.000000000000000000e+02 -1.904181250000000000e+05 -1.904243977142866934e+05 nan
