tau alpha beta logZsun
1.299652736038725642e+01 5.206645674092853682e+01 2.438619701062973100e+00 1.911888704194986133e-01
1.299620079621602464e+01 5.262959087196498587e+01 2.816593101373391583e+00 2.304607716014852592e-01
1.299960312890978464e+01 5.070211932277816658e+01 2.164541139061669561e+00 1.775048062872994770e-01
1.299302839529229914e+01 5.057612534619800471e+01 2.372686826656528858e+00 1.988670850278961844e-01
1.299771839299340925e+01 5.198152411262086758e+01 2.622762251761555863e+00 2.138974874589951725e-01
1.299769103977876838e+01 5.292655273363904200e+01 2.715112164886595902e+00 2.153895341020475307e-01
1.299652070243606694e+01 5.130137865340812198e+01 2.416898497117643263e+00 2.020673341253984567e-01
1.299830555946028987e+01 5.066569042075347795e+01 2.258869719787005792e+00 1.922850541259579771e-01
1.299830731569379338e+01 5.179384510026834221e+01 2.423467946573469867e+00 1.957192764407760244e-01
1.299876299061541474e+01 5.276951570063430808e+01 2.672759052118307999e+00 2.130014203946442031e-01
1.299982383657182261e+01 5.165298143722678503e+01 2.381670100089730013e+00 1.949036813882063512e-01
1.299990506483507069e+01 5.187024669515886188e+01 2.401413247589111233e+00 1.941108076246926828e-01
1.299640718359839653e+01 5.218983782422099438e+01 2.535193559463628343e+00 2.027595478345820545e-01
1.299723276305139663e+01 5.125919687302825878e+01 2.466722735207753647e+00 2.089596979759491546e-01
1.298883069488460507e+01 5.117337537438659467e+01 2.650276614099762451e+00 2.168094967946263552e-01
1.299802266314469357e+01 5.190008917864988547e+01 2.354106621247438635e+00 1.838811841865917174e-01
1.299987383630987203e+01 5.327427372231373681e+01 2.777034334126350146e+00 2.245499473659577916e-01
1.299706004335809340e+01 5.188102218375482977e+01 2.511506245565608975e+00 2.020085909201396746e-01
1.299981426855014632e+01 5.244509554930337458e+01 2.546212791705318335e+00 2.023710954725328470e-01
1.299990506483507069e+01 5.187024669515886188e+01 2.401413247589111233e+00 1.941108076246926828e-01
1.299966339495848366e+01 5.127286942959964477e+01 2.371621942632292868e+00 1.976020340359383454e-01
1.299861959806751521e+01 5.061972016436119048e+01 2.296870739866383460e+00 1.960925477210095913e-01
1.299452904270668618e+01 5.105866148494246914e+01 2.437551320059473170e+00 2.019869215528995454e-01
1.299981810443568619e+01 5.243264248543275130e+01 2.680964187012532474e+00 2.246404589265824647e-01
1.299924059934397036e+01 5.282576718697210083e+01 2.708207202475305664e+00 2.206815663530212746e-01
1.296919694857626837e+01 5.040165180206181361e+01 2.722417135242396480e+00 2.125702821119106467e-01
1.298868347232281195e+01 5.131750076158713370e+01 2.634768490564369348e+00 2.115949073541587566e-01
1.299723965119105529e+01 5.053996210889902585e+01 2.216645882210659391e+00 1.837291657459774186e-01
1.299342247074368473e+01 5.194698263347187606e+01 2.527075301717593980e+00 1.991825578167092381e-01
1.299776688292706517e+01 5.272029682126593286e+01 2.674326487441142319e+00 2.160978899244412332e-01
1.299683576948607033e+01 5.169935358520226032e+01 2.422065807867461729e+00 1.973154194534112449e-01
1.299544445779124935e+01 5.199319346977253531e+01 2.528767471570839032e+00 2.022836568503008081e-01
1.299975343444961950e+01 5.046255516680743369e+01 2.215646993213804095e+00 1.861236067342946221e-01
1.299863618650143948e+01 5.219293780857881160e+01 2.493503339846862676e+00 2.017678872578816396e-01
1.299373372814467054e+01 5.206310018644417426e+01 2.463907336983361507e+00 1.858951557107353381e-01
1.299762540326854321e+01 5.165357966802528011e+01 2.382521596517716223e+00 1.939743077592139819e-01
1.299779010936027390e+01 5.274603104431164269e+01 2.612344921569830003e+00 2.037999088423370075e-01
1.299849460111768629e+01 5.076458130893115595e+01 2.165287908320515431e+00 1.758006664766433857e-01
1.299751661477167630e+01 5.129164971949064267e+01 2.351745331216665846e+00 1.902313255285275062e-01
1.299464130328363076e+01 5.107007874732811104e+01 2.288028628002807707e+00 1.841479239304177895e-01
1.299907757982086309e+01 5.274941551769136083e+01 2.780577884504733532e+00 2.258682254966402070e-01
1.299794368333633265e+01 5.119640120137971451e+01 2.311171949141845872e+00 1.856321971727723508e-01
1.299878911625885181e+01 5.189262957501109952e+01 2.572562958472003558e+00 2.140292637794618535e-01
1.299961479305761358e+01 5.145274989033827495e+01 2.415259581806635580e+00 1.982572812373595283e-01
1.299337074560120087e+01 5.252824604523646457e+01 2.749745021503918974e+00 2.214940924430317537e-01
1.299819167905444139e+01 5.176227848291355116e+01 2.534561202672602764e+00 2.113295665482564090e-01
1.299794557644955795e+01 5.243222503694895664e+01 2.619619120243924737e+00 2.085823932505834755e-01
1.299812686461461908e+01 5.282492811386644860e+01 2.570078655971267612e+00 2.029060675469125385e-01
1.299935534499376111e+01 5.082180173571753556e+01 2.347273800469229066e+00 1.985056802966296274e-01
