tau alpha beta logZsun
1.299981426855014632e+01 5.244509554930337458e+01 2.546212791705318335e+00 2.023710954725328470e-01
1.299929356796111435e+01 5.161994338314275410e+01 2.481161380210477496e+00 2.096413697571732904e-01
1.299940682515994439e+01 5.225421981275247418e+01 2.482855458511318947e+00 1.967903860315960429e-01
1.299539361096941548e+01 5.220673430956374261e+01 2.653122310372814763e+00 2.143597281194464799e-01
1.299972871972854271e+01 5.270100654776690163e+01 2.590521421005196334e+00 2.062834029035700567e-01
1.299900822339455608e+01 5.231206670241660817e+01 2.507360992334958016e+00 2.024605746864858169e-01
1.299694295890878060e+01 5.160383162371118715e+01 2.485797522340166932e+00 2.074631968855649156e-01
1.299869237377751219e+01 5.156781540108934792e+01 2.539464818525863254e+00 2.102760776760059791e-01
1.299737771277400711e+01 5.167990730353824347e+01 2.448889931228577677e+00 1.980996148865581397e-01
1.299818723654850849e+01 5.021121804873300221e+01 2.268800272630447257e+00 1.965727903283434053e-01
1.299645825317189995e+01 5.022164297742972394e+01 2.031377028057906653e+00 1.600339220949784647e-01
1.299960548152506234e+01 5.073488312942821921e+01 2.075993973757234823e+00 1.627996225276673314e-01
