11:00:08 [ultranest] [DEBUG] ReactiveNestedSampler: dims=4+0, resume=False, log_dir=/home/chengz/Code/opencode/bigs_v2/out_manga_demo/chains_dpl, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
11:00:08 [ultranest] [INFO] Sampling 400 live points from prior ...
11:00:08 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.50, Lepsilon=0.0010, min_ess=400
11:00:08 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
11:00:08 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(400.0)), (np.float64(inf), np.float64(400.0))]
11:00:15 [ultranest] [DEBUG] iteration=1027, ncalls=3003, regioncalls=4992, ndraw=128, logz=-9280.02, remainder_fraction=100.0000%, Lmin=-9263.03, Lmax=-4507.40
11:00:15 [ultranest] [DEBUG] iteration=1040, ncalls=3049, regioncalls=5120, ndraw=128, logz=-9048.58, remainder_fraction=100.0000%, Lmin=-9039.46, Lmax=-4507.40
11:00:15 [ultranest] [DEBUG] iteration=1049, ncalls=3097, regioncalls=5248, ndraw=128, logz=-8912.81, remainder_fraction=100.0000%, Lmin=-8846.00, Lmax=-4507.40
11:00:15 [ultranest] [DEBUG] iteration=1080, ncalls=3294, regioncalls=5760, ndraw=128, logz=-8463.67, remainder_fraction=100.0000%, Lmin=-8414.73, Lmax=-4507.40
11:00:15 [ultranest] [DEBUG] iteration=1120, ncalls=3491, regioncalls=6272, ndraw=128, logz=-8012.67, remainder_fraction=100.0000%, Lmin=-7977.43, Lmax=-4507.40
11:00:16 [ultranest] [DEBUG] iteration=1131, ncalls=3575, regioncalls=6528, ndraw=128, logz=-7851.18, remainder_fraction=100.0000%, Lmin=-7837.00, Lmax=-4507.40
11:00:16 [ultranest] [DEBUG] iteration=1148, ncalls=3718, regioncalls=6912, ndraw=128, logz=-7703.64, remainder_fraction=100.0000%, Lmin=-7688.30, Lmax=-4507.40
11:00:16 [ultranest] [DEBUG] iteration=1158, ncalls=3812, regioncalls=7168, ndraw=128, logz=-7646.74, remainder_fraction=100.0000%, Lmin=-7622.76, Lmax=-4507.40
11:00:16 [ultranest] [DEBUG] iteration=1160, ncalls=3812, regioncalls=7168, ndraw=128, logz=-7626.95, remainder_fraction=100.0000%, Lmin=-7615.99, Lmax=-4507.40
11:00:16 [ultranest] [DEBUG] iteration=1200, ncalls=4054, regioncalls=7808, ndraw=128, logz=-7233.37, remainder_fraction=100.0000%, Lmin=-7219.01, Lmax=-4507.40
11:00:17 [ultranest] [DEBUG] iteration=1204, ncalls=4088, regioncalls=7936, ndraw=128, logz=-7180.72, remainder_fraction=100.0000%, Lmin=-7171.38, Lmax=-4507.40
11:00:17 [ultranest] [DEBUG] iteration=1223, ncalls=4264, regioncalls=8448, ndraw=128, logz=-7031.74, remainder_fraction=100.0000%, Lmin=-7021.62, Lmax=-4507.40
11:00:17 [ultranest] [DEBUG] iteration=1238, ncalls=4452, regioncalls=8960, ndraw=128, logz=-6928.26, remainder_fraction=100.0000%, Lmin=-6910.04, Lmax=-4507.40
11:00:17 [ultranest] [DEBUG] iteration=1240, ncalls=4452, regioncalls=8960, ndraw=128, logz=-6916.94, remainder_fraction=100.0000%, Lmin=-6907.09, Lmax=-4507.40
11:00:17 [ultranest] [DEBUG] iteration=1253, ncalls=4544, regioncalls=9216, ndraw=128, logz=-6863.28, remainder_fraction=100.0000%, Lmin=-6848.61, Lmax=-4507.40
11:00:18 [ultranest] [DEBUG] iteration=1274, ncalls=4709, regioncalls=9728, ndraw=128, logz=-6660.43, remainder_fraction=100.0000%, Lmin=-6632.34, Lmax=-4507.40
11:00:18 [ultranest] [DEBUG] iteration=1280, ncalls=4709, regioncalls=9728, ndraw=128, logz=-6612.24, remainder_fraction=100.0000%, Lmin=-6598.35, Lmax=-4507.40
11:00:18 [ultranest] [DEBUG] iteration=1281, ncalls=4744, regioncalls=9856, ndraw=128, logz=-6607.54, remainder_fraction=100.0000%, Lmin=-6598.19, Lmax=-4507.40
11:00:18 [ultranest] [DEBUG] iteration=1314, ncalls=4996, regioncalls=10624, ndraw=128, logz=-6343.50, remainder_fraction=100.0000%, Lmin=-6330.75, Lmax=-4507.40
11:00:18 [ultranest] [DEBUG] iteration=1320, ncalls=5040, regioncalls=10752, ndraw=128, logz=-6317.11, remainder_fraction=100.0000%, Lmin=-6307.05, Lmax=-4507.40
11:00:18 [ultranest] [DEBUG] iteration=1322, ncalls=5102, regioncalls=11008, ndraw=128, logz=-6304.93, remainder_fraction=100.0000%, Lmin=-6272.97, Lmax=-4507.40
