weight logl t0 tau logZsun
0.000000000000000000e+00 -9.489093750000000000e+05 1.216649289018116420e+01 4.506955087542940497e+00 1.857287263794757948e-01
0.000000000000000000e+00 -9.479938750000000000e+05 1.244247117225942922e+01 2.959142274821493501e-01 -2.304458653303567583e+00
0.000000000000000000e+00 -9.459273750000000000e+05 1.191251697434161905e+01 7.631400651315957129e-01 -2.162701171066959915e+00
0.000000000000000000e+00 -9.455063750000000000e+05 1.209030649188059314e+01 2.715561444135103031e+00 4.853276324081452486e-01
0.000000000000000000e+00 -9.417601250000000000e+05 1.240349419305984568e+01 5.060419961543203726e+00 -5.689503776439757132e-01
0.000000000000000000e+00 -9.391822500000000000e+05 1.123481889110400012e+01 9.389822088487029816e+00 -1.542115408135797949e+00
0.000000000000000000e+00 -9.386650000000000000e+05 1.242502535007438702e+01 1.264216752737611138e+00 2.925304630072220746e-01
0.000000000000000000e+00 -9.384618750000000000e+05 1.199052554511530033e+01 9.170759349940615479e+00 -1.094801018357565159e+00
0.000000000000000000e+00 -9.339641875000000000e+05 1.228983231145194566e+01 4.028703007925138024e+00 4.185472365783660109e-02
0.000000000000000000e+00 -9.308750000000000000e+05 1.195951010660412805e+01 7.970699204816599881e+00 2.447845807611841451e-01
0.000000000000000000e+00 -9.293728750000000000e+05 1.013827106780664522e+01 5.462377266212839366e+00 -2.229690747677083529e+00
0.000000000000000000e+00 -9.293168125000000000e+05 1.271320216179519313e+01 5.115920193365877111e-01 -1.132007353182978626e+00
0.000000000000000000e+00 -9.244626250000000000e+05 1.106976637883445669e+01 1.956217036138817367e+00 -2.157231081227108493e+00
0.000000000000000000e+00 -9.185781875000000000e+05 1.137307951613992785e+01 7.231498552734481500e+00 -1.445211913285799454e+00
0.000000000000000000e+00 -9.143562500000000000e+05 1.151390914915397090e+01 3.306801266142631146e+00 -1.503280804659876235e+00
0.000000000000000000e+00 -9.128108125000000000e+05 1.137077544386247752e+01 1.452858734453340794e+00 -2.084322762114548144e+00
0.000000000000000000e+00 -9.100650000000000000e+05 1.237941899890917163e+01 5.889441084539682514e+00 -6.668564195411725848e-01
0.000000000000000000e+00 -9.020894375000000000e+05 1.239268539160784854e+01 4.602139727028629501e+00 -6.827910781847048582e-01
0.000000000000000000e+00 -9.004960000000000000e+05 1.168947346848455560e+01 1.208692403313563535e+00 -1.855700371284332739e+00
0.000000000000000000e+00 -8.982452500000000000e+05 1.210695145257377270e+01 6.424868215175293606e+00 -3.925648227348323971e-01
0.000000000000000000e+00 -8.877968750000000000e+05 1.220793733546899063e+01 5.694106642509612071e-01 -1.885632106536692998e+00
0.000000000000000000e+00 -8.734370000000000000e+05 1.308089847023367724e+01 1.904423137317252379e-01 -1.047732940500265997e+00
0.000000000000000000e+00 -8.670070000000000000e+05 1.140842939553935942e+01 7.984351955355154296e+00 -1.271865595585510711e+00
0.000000000000000000e+00 -8.483210625000000000e+05 1.062051192745076555e+01 8.938724025216846059e+00 -1.594955319887986001e+00
0.000000000000000000e+00 -8.424563750000000000e+05 9.725857966170782021e+00 4.032586952784467549e+00 -2.266412039056628025e+00
0.000000000000000000e+00 -8.393932500000000000e+05 1.312557677957656921e+01 1.869145970332509454e-01 3.043092116041457018e-02
0.000000000000000000e+00 -8.391042500000000000e+05 9.143753247451638089e+00 6.302374281500975783e+00 -2.301757061030234475e+00
0.000000000000000000e+00 -8.303906875000000000e+05 8.886520464498149252e+00 7.548170930024300063e+00 -2.397027711806838379e+00
0.000000000000000000e+00 -8.303845000000000000e+05 1.233414802076583783e+01 1.754815517601855834e+00 -6.321199046578698244e-01
