logz logzerr logvol nlive logl logwt insert_order
-9.723440637552372646e+05 9.573290770624227662e+03 -9.400000000000006961e-02 1.000000000000000000e+03 -9.668355000000000000e+05 -9.668425022552373121e+05 3.780000000000000027e-01
-9.668425022552373121e+05 8.812936874476490630e+03 -9.500000000000007050e-02 1.000000000000000000e+03 -9.580822500000000000e+05 -9.580892532552373596e+05 1.286000000000000032e+00
-9.580892532552373596e+05 1.118135862862473368e+04 -9.600000000000007139e-02 1.000000000000000000e+03 -9.542925000000000000e+05 -9.542995042552372906e+05 2.340000000000000135e-01
-9.542995042552372906e+05 1.225980623677307449e+04 -9.700000000000007228e-02 1.000000000000000000e+03 -9.489093750000000000e+05 -9.489163802552373381e+05 4.179999999999999827e-01
-9.489163802552373381e+05 1.351254106567092094e+04 -9.800000000000007316e-02 1.000000000000000000e+03 -9.479938750000000000e+05 -9.480008812552372692e+05 1.937999999999999945e+00
-9.480008812552372692e+05 5.318839426103772894e+03 -9.900000000000007405e-02 1.000000000000000000e+03 -9.459273750000000000e+05 -9.459343822552373167e+05 1.713999999999999968e+00
-9.459343822552373167e+05 2.900509111615932397e+03 -1.000000000000000749e-01 1.000000000000000000e+03 -9.455063750000000000e+05 -9.455133832552373642e+05 4.079999999999999738e-01
-9.455133832552373642e+05 1.326418965485407398e+03 -1.010000000000000758e-01 1.000000000000000000e+03 -9.417601250000000000e+05 -9.417671342552372953e+05 5.000000000000000278e-02
-9.417671342552372953e+05 2.113165750085331638e+03 -1.020000000000000767e-01 1.000000000000000000e+03 -9.391822500000000000e+05 -9.391892602552373428e+05 8.840000000000000080e-01
-9.391892602552373428e+05 2.896814412726325372e+03 -1.030000000000000776e-01 1.000000000000000000e+03 -9.386650000000000000e+05 -9.386720112552372739e+05 1.600000000000000089e+00
-9.386720112552372739e+05 1.432398925624957258e+02 -1.040000000000000785e-01 1.000000000000000000e+03 -9.384618750000000000e+05 -9.384688872552373214e+05 4.599999999999999922e-02
-9.384688872552373214e+05 9.988338748215905127e+01 -1.050000000000000794e-01 1.000000000000000000e+03 -9.339641875000000000e+05 -9.339712007552373689e+05 5.320000000000000284e-01
-9.339712007552373689e+05 1.675519941384922504e+03 -1.060000000000000803e-01 1.000000000000000000e+03 -9.308750000000000000e+05 -9.308820142552372999e+05 8.259999999999999565e-01
-9.308820142552372999e+05 2.190727687563659856e+03 -1.070000000000000812e-01 1.000000000000000000e+03 -9.293728750000000000e+05 -9.293798902552373474e+05 9.439999999999999503e-01
-9.293798902552373474e+05 1.321532776743310023e+03 -1.080000000000000820e-01 1.000000000000000000e+03 -9.293168125000000000e+05 -9.293238287552372785e+05 6.600000000000000311e-01
-9.293238287552372785e+05 1.279688225320955098e+03 -1.090000000000000829e-01 1.000000000000000000e+03 -9.244626250000000000e+05 -9.244696422552373260e+05 1.780000000000000027e+00
-9.244696422552373260e+05 3.072687464974408158e+03 -1.100000000000000838e-01 1.000000000000000000e+03 -9.185781875000000000e+05 -9.185852057552373735e+05 1.457999999999999963e+00
-9.185852057552373735e+05 3.559867710045958574e+03 -1.110000000000000847e-01 1.000000000000000000e+03 -9.143562500000000000e+05 -9.143632692552373046e+05 3.340000000000000191e-01
-9.143632692552373046e+05 3.028423620872708398e+03 -1.120000000000000856e-01 1.000000000000000000e+03 -9.128108125000000000e+05 -9.128178327552373521e+05 6.159999999999999920e-01
-9.128178327552373521e+05 3.578374158186964451e+03 -1.130000000000000865e-01 1.000000000000000000e+03 -9.100650000000000000e+05 -9.100720212552372832e+05 1.000000000000000056e-01
-9.100720212552372832e+05 3.949714289957258188e+03 -1.140000000000000874e-01 1.000000000000000000e+03 -9.020894375000000000e+05 -9.020964597552373307e+05 8.479999999999999760e-01
-9.020964597552373307e+05 4.477952378130838952e+03 -1.150000000000000883e-01 1.000000000000000000e+03 -9.004960000000000000e+05 -9.005030232552372618e+05 1.693999999999999950e+00
-9.005030232552372618e+05 2.590542725132692340e+03 -1.160000000000000892e-01 1.000000000000000000e+03 -8.982452500000000000e+05 -8.982522742552373093e+05 1.913999999999999924e+00
-8.982522742552373093e+05 1.482431881690601585e+03 -1.170000000000000900e-01 1.000000000000000000e+03 -8.877968750000000000e+05 -8.878039002552373568e+05 1.286000000000000032e+00
-8.878039002552373568e+05 5.618598616974521065e+03 -1.180000000000000909e-01 1.000000000000000000e+03 -8.734370000000000000e+05 -8.734440262552372878e+05 1.225999999999999979e+00
-8.734440262552372878e+05 9.712333726069460681e+03 -1.190000000000000918e-01 1.000000000000000000e+03 -8.670070000000000000e+05 -8.670140272552373353e+05 8.399999999999999689e-01
-8.670140272552373353e+05 3.169971344929960196e+03 -1.200000000000000927e-01 1.000000000000000000e+03 -8.483210625000000000e+05 -8.483280907552372664e+05 1.153999999999999915e+00
-8.483280907552372664e+05 1.067625088766229055e+04 -1.210000000000000936e-01 1.000000000000000000e+03 -8.424563750000000000e+05 -8.424634042552373139e+05 3.300000000000000155e-01
-8.424634042552373139e+05 1.116348907010485709e+04 -1.220000000000000945e-01 1.000000000000000000e+03 -8.393932500000000000e+05 -8.394002802552373614e+05 7.359999999999999876e-01
-8.394002802552373614e+05 9.469313805872379817e+03 -1.230000000000000954e-01 1.000000000000000000e+03 -8.391042500000000000e+05 -8.391112812552372925e+05 4.540000000000000147e-01
-8.391112812552372925e+05 9.076673162253432565e+02 -1.240000000000000963e-01 1.000000000000000000e+03 -8.303906875000000000e+05 -8.303977197552373400e+05 1.195999999999999952e+00
-8.303977197552373400e+05 3.856640396125877942e+03 -1.250000000000000833e-01 1.000000000000000000e+03 -8.303845000000000000e+05 -8.303915332552372711e+05 7.500000000000000000e-01
-8.303915312003362924e+05 3.356347628466951392e+03 -1.260000000000000842e-01 1.000000000000000000e+03 -8.303358125000000000e+05 -8.303428467552373186e+05 1.516000000000000014e+00
-8.303428467552373186e+05 2.498868852714444529e+03 -1.270000000000000850e-01 1.000000000000000000e+03 -8.302530000000000000e+05 -8.302600352552373661e+05 1.885999999999999899e+00
-8.302600352552373661e+05 2.522709387821887503e+03 -1.280000000000000859e-01 1.000000000000000000e+03 -8.238414375000000000e+05 -8.238484737552372972e+05 3.619999999999999885e-01
-8.238484737552372972e+05 4.640984480507709122e+03 -1.290000000000000868e-01 1.000000000000000000e+03 -8.217288125000000000e+05 -8.217358497552373447e+05 8.040000000000000480e-01
-8.217358497552373447e+05 3.070653472556267843e+03 -1.300000000000000877e-01 1.000000000000000000e+03 -8.170957500000000000e+05 -8.171027882552372757e+05 6.800000000000000488e-01
-8.171027882552372757e+05 3.994876276086775306e+03 -1.310000000000000886e-01 1.000000000000000000e+03 -8.141198750000000000e+05 -8.141269142552373232e+05 1.427999999999999936e+00
-8.141269142552373232e+05 4.460293406826764112e+03 -1.320000000000000895e-01 1.000000000000000000e+03 -8.089315000000000000e+05 -8.089385402552373707e+05 2.400000000000000050e-02
-8.089385402552373707e+05 1.934256615299760142e+03 -1.330000000000000904e-01 1.000000000000000000e+03 -8.010660625000000000e+05 -8.010731037552373018e+05 7.399999999999999911e-01
-8.010731037552373018e+05 4.039547827630141910e+03 -1.340000000000000913e-01 1.000000000000000000e+03 -8.001932500000000000e+05 -8.002002922552373493e+05 4.560000000000000164e-01
-8.002002922552373493e+05 3.252790570753401767e+02 -1.350000000000000921e-01 1.000000000000000000e+03 -7.926718750000000000e+05 -7.926789182552372804e+05 8.800000000000000044e-01
-7.926789182552372804e+05 2.803089510927005449e+03 -1.360000000000000930e-01 1.000000000000000000e+03 -7.862427500000000000e+05 -7.862497942552373279e+05 2.760000000000000231e-01
-7.862497942552373279e+05 4.256406566585103064e+03 -1.370000000000000939e-01 1.000000000000000000e+03 -7.721683750000000000e+05 -7.721754202552372590e+05 1.054000000000000048e+00
-7.721754202552372590e+05 6.093921867114410816e+03 -1.380000000000000948e-01 1.000000000000000000e+03 -7.696434375000000000e+05 -7.696504837552373065e+05 1.096000000000000085e+00
-7.696504837552373065e+05 4.487202554047908961e+03 -1.390000000000000957e-01 1.000000000000000000e+03 -7.623596250000000000e+05 -7.623666722552373540e+05 1.977999999999999980e+00
-7.623666722552373540e+05 4.149042129219776143e+03 -1.400000000000000966e-01 1.000000000000000000e+03 -7.552686875000000000e+05 -7.552757357552372850e+05 3.420000000000000262e-01
-7.552757357552372850e+05 6.462317889004843892e+03 -1.410000000000000975e-01 1.000000000000000000e+03 -7.499406250000000000e+05 -7.499476742552373325e+05 6.800000000000000488e-01
-7.499476742552373325e+05 7.260970785742402768e+03 -1.420000000000000984e-01 1.000000000000000000e+03 -7.415340000000000000e+05 -7.415410502552372636e+05 1.719999999999999862e-01
-7.415410502552372636e+05 3.795723698498488375e+03 -1.430000000000000993e-01 1.000000000000000000e+03 -7.412706250000000000e+05 -7.412776762552373111e+05 1.000000000000000056e-01
-7.412776762552373111e+05 1.136102061996652282e+02 -1.440000000000001001e-01 1.000000000000000000e+03 -7.384693750000000000e+05 -7.384764272552373586e+05 1.800000000000000044e+00
-7.384764272552373586e+05 1.435733083611426309e+03 -1.450000000000001010e-01 1.000000000000000000e+03 -7.369056250000000000e+05 -7.369126782552372897e+05 1.375999999999999890e+00
-7.369126782552372897e+05 1.661696695380407164e+03 -1.460000000000001019e-01 1.000000000000000000e+03 -7.366855000000000000e+05 -7.366925542552373372e+05 9.899999999999999911e-01
-7.366925542552373372e+05 1.340037025255656317e+03 -1.470000000000001028e-01 1.000000000000000000e+03 -7.363096250000000000e+05 -7.363166802552372683e+05 1.536000000000000032e+00
-7.363166802552372683e+05 1.875440060111839671e+02 -1.480000000000001037e-01 1.000000000000000000e+03 -7.329266875000000000e+05 -7.329337437552373158e+05 1.288000000000000034e+00
-7.329337437552373158e+05 1.789941390296904274e+03 -1.490000000000001046e-01 1.000000000000000000e+03 -7.272273750000000000e+05 -7.272344322552373633e+05 1.770000000000000018e+00
-7.272344322552373633e+05 3.691899508630591299e+03 -1.500000000000001055e-01 1.000000000000000000e+03 -7.269379375000000000e+05 -7.269449957552372944e+05 5.800000000000000294e-02
-7.269449957552372944e+05 2.571313914084208591e+03 -1.510000000000001064e-01 1.000000000000000000e+03 -7.193636875000000000e+05 -7.193707467552373419e+05 1.395999999999999908e+00
-7.193707467552373419e+05 5.221652275499818643e+03 -1.520000000000001072e-01 1.000000000000000000e+03 -7.130194375000000000e+05 -7.130264977552372729e+05 1.697999999999999954e+00
-7.130264977552372729e+05 5.300813382938345057e+03 -1.530000000000001081e-01 1.000000000000000000e+03 -7.114692500000000000e+05 -7.114763112552373204e+05 1.282000000000000028e+00
-7.114763112552373204e+05 4.456626558247665344e+03 -1.540000000000001090e-01 1.000000000000000000e+03 -7.114023125000000000e+05 -7.114093747552373679e+05 1.780000000000000027e+00
-7.114093747552373679e+05 2.196739096336415514e+03 -1.550000000000001099e-01 1.000000000000000000e+03 -7.053244375000000000e+05 -7.053315007552372990e+05 1.862000000000000099e+00
-7.053315007552372990e+05 4.420232952151318386e+03 -1.560000000000001108e-01 1.000000000000000000e+03 -7.015093125000000000e+05 -7.015163767552373465e+05 3.160000000000000031e-01
-7.015163767552373465e+05 2.908471709948116768e+03 -1.570000000000001117e-01 1.000000000000000000e+03 -6.972475625000000000e+05 -6.972546277552372776e+05 3.860000000000000098e-01
