t0 tau logZsun
1.054955087759419996e+01 4.962415077599842683e-01 1.299160117184556817e-01
1.092506295146113793e+01 4.279296542954514893e-01 1.832801122554261752e-01
1.060960229186226478e+01 4.804551943823337501e-01 1.116450209829831230e-01
1.045469017300416148e+01 5.110021379068143688e-01 1.056014921517398619e-01
1.056997786483953128e+01 4.919751299611376250e-01 1.229299994716952504e-01
1.069993895699881037e+01 4.692699825882248321e-01 1.514849181491753072e-01
1.088586819692508278e+01 4.366180103490379105e-01 1.821851043539699511e-01
1.102151819170097546e+01 4.126956137735547370e-01 2.166104110853606102e-01
1.064296764776102222e+01 4.799589887240898189e-01 1.434023303427154339e-01
1.096502100822720216e+01 4.240666691550347700e-01 2.081738107695549900e-01
1.087204401545775490e+01 4.393644998671839552e-01 1.818198237106649628e-01
1.063427186791317780e+01 4.798659264722847095e-01 1.328048091859228563e-01
1.066429451771390369e+01 4.764209079294412508e-01 1.449460336912049563e-01
1.057110674207023848e+01 4.936834639891004017e-01 1.336634067917632507e-01
1.061152905696735083e+01 4.848859336323048663e-01 1.284070312236935685e-01
1.065760733196747267e+01 4.802907524893397784e-01 1.575856568515385803e-01
1.087550740360319601e+01 4.397317107558169069e-01 1.851177419454028694e-01
1.089641817190245021e+01 4.356791791765504684e-01 1.874531706436064482e-01
1.094801695561174171e+01 4.290330447161751493e-01 2.072757580469075656e-01
1.090082929358992914e+01 4.391204660900660528e-01 2.071966445598829587e-01
1.090307570851857122e+01 4.389819915307316411e-01 2.094204217978470339e-01
1.094568922065831451e+01 4.281223598769438587e-01 2.043600586433842459e-01
1.084381462450878075e+01 4.424951952110939279e-01 1.651194746061408480e-01
1.089242869345421383e+01 4.373972430054631766e-01 1.886408171475504325e-01
1.095547662499075514e+01 4.251073889123969662e-01 1.988749949498607172e-01
1.090442019692350684e+01 4.352409809555210507e-01 1.935313056827476785e-01
1.078413961116505249e+01 4.536659565832243945e-01 1.712243301556561903e-01
1.095851220629923084e+01 4.234250589045916446e-01 2.001433502602596448e-01
1.057861811085345671e+01 4.941031213779539244e-01 1.461908795870896505e-01
1.096815306651179256e+01 4.233554013218595591e-01 2.113380728639873141e-01
1.092976351480022679e+01 4.327776329954947654e-01 2.048903013995904132e-01
1.093842475722994401e+01 4.285639473486504980e-01 1.980284077125791242e-01
1.046858051690371738e+01 5.101531996335925134e-01 1.091917017281311963e-01
1.063731287980434104e+01 4.794511749355489516e-01 1.336033609553624046e-01
1.093452116255200579e+01 4.292329961621602630e-01 1.946731981674449941e-01
1.061061526129806509e+01 4.852468276889240206e-01 1.345982840847503859e-01
1.067960522032809401e+01 4.715348405099546447e-01 1.399065125097482820e-01
1.089404327450601428e+01 4.359536762158896517e-01 1.894367877745177786e-01
1.079362817099657157e+01 4.502727254271930435e-01 1.644319025676121981e-01
1.063590902518489756e+01 4.825986799621820866e-01 1.456028636651476305e-01
1.087253512862729998e+01 4.390085477848366668e-01 1.820623386905144692e-01
1.067000555058197619e+01 4.736437936502800872e-01 1.390457853676809741e-01
1.047028111464079281e+01 5.091151901950708991e-01 1.078382800207879910e-01
1.089003500554287562e+01 4.367351925242422550e-01 1.909316701870729105e-01
1.093876846708447736e+01 4.301672473598473490e-01 2.101134340599100092e-01
1.057606999270631398e+01 4.904849949205951631e-01 1.271295826072740276e-01
1.090822849469931022e+01 4.349841407547347938e-01 1.971598752642877983e-01
1.062849839620289494e+01 4.810968249161757249e-01 1.315985721013714915e-01
1.087792417314458682e+01 4.405342252518666402e-01 1.915890736670671224e-01
1.092019541621856327e+01 4.341371494826014588e-01 2.061811530989992036e-01
1.066673972767446266e+01 4.734737992122877714e-01 1.388049583357342520e-01
1.091937500055396981e+01 4.322391443234989694e-01 1.944297422914518236e-01
1.058844791269339680e+01 4.865629618671101220e-01 1.228404854344509189e-01
1.093842475722994401e+01 4.285639473486504980e-01 1.980284077125791242e-01
1.059782053531020551e+01 4.898965737485384553e-01 1.425000963721707592e-01
1.072278704077492684e+01 4.629355975455194394e-01 1.525863503170681312e-01
1.089967252239412332e+01 4.351566132713066692e-01 1.844282187096704106e-01
1.088610700067586556e+01 4.382319303083412332e-01 1.880531032257510837e-01
1.063192838169831944e+01 4.818397082644430562e-01 1.368265878920622569e-01
1.062431753906721532e+01 4.844946964891385655e-01 1.460339379483421851e-01
1.069993895699881037e+01 4.692699825882248321e-01 1.514849181491753072e-01
1.065011095623260928e+01 4.792200357345470230e-01 1.431415478211595094e-01
1.090518057520156958e+01 4.342854873125919779e-01 1.901838710185450587e-01
1.089404327450601428e+01 4.359536762158896517e-01 1.894367877745177786e-01
1.108863815805564457e+01 4.008714066853510394e-01 2.243072600882363155e-01
1.093827510324581809e+01 4.281320828272772161e-01 1.916885177037452870e-01
1.059471599734144753e+01 4.892653377924740532e-01 1.367784541002619036e-01
1.094691481731041449e+01 4.268589502696631954e-01 1.977434287758810250e-01
