weight logl t0 tau logZsun
0.000000000000000000e+00 -7.696434375000000000e+05 8.310318127329653359e-01 6.677112624872538760e-01 3.461722558557880358e-01
0.000000000000000000e+00 -7.623596250000000000e+05 9.523666377183993559e-01 2.645681677642408580e-02 1.641042371484748852e-01
0.000000000000000000e+00 -7.552686875000000000e+05 8.494053802597504310e-01 9.941248682033583250e-01 7.272822068990782984e-01
0.000000000000000000e+00 -7.499406250000000000e+05 9.176858656049969865e-01 4.605319992988710087e-01 6.552067870699317398e-01
0.000000000000000000e+00 -7.415340000000000000e+05 8.192047292446343887e-01 9.634148589703893650e-01 9.429961699825407662e-01
0.000000000000000000e+00 -7.412706250000000000e+05 8.328192162044648628e-01 4.664631779197763173e-01 3.540670310649596253e-02
0.000000000000000000e+00 -7.384693750000000000e+05 6.231526086000537257e-01 8.539287729116666892e-01 3.038388744527686924e-02
0.000000000000000000e+00 -7.369056250000000000e+05 8.391326825223947017e-01 7.762907410936134012e-01 9.886702623631447029e-01
0.000000000000000000e+00 -7.366855000000000000e+05 8.507593187127208134e-01 9.059857000320845621e-01 7.637198296837255374e-01
0.000000000000000000e+00 -7.363096250000000000e+05 6.372256312876588558e-01 8.708707889574240912e-01 1.032332302387808376e-01
0.000000000000000000e+00 -7.329266875000000000e+05 9.168759295236230678e-01 2.427139169067884517e-01 1.712547887089308496e-01
0.000000000000000000e+00 -7.272273750000000000e+05 7.568478200689489066e-01 7.619921750692016937e-01 2.668884825569201036e-01
0.000000000000000000e+00 -7.269379375000000000e+05 8.161115043728718321e-01 8.514885662518428822e-01 4.567226117882955405e-01
0.000000000000000000e+00 -7.193636875000000000e+05 7.232005070320748352e-01 8.172662617820939390e-01 2.428498799278389075e-01
0.000000000000000000e+00 -7.130194375000000000e+05 8.420760879747032357e-01 9.043704495668988264e-01 6.828995717690795608e-01
0.000000000000000000e+00 -7.114692500000000000e+05 6.488679174456065679e-01 8.012866533196953966e-01 9.115083059076312111e-02
0.000000000000000000e+00 -7.114023125000000000e+05 7.231248003751050701e-01 8.950979054136842805e-01 3.011737108395718954e-01
0.000000000000000000e+00 -7.053244375000000000e+05 7.097865984869001776e-01 8.861800598223005254e-01 2.801327715136687768e-01
0.000000000000000000e+00 -7.015093125000000000e+05 7.364627030586419210e-01 7.505552783682892803e-01 2.335588572493310089e-01
0.000000000000000000e+00 -6.972475625000000000e+05 8.823931693104752894e-01 6.184764458334884862e-01 5.780150081109742821e-01
0.000000000000000000e+00 -6.952751250000000000e+05 7.614168024719183414e-01 9.894101084104381938e-01 4.196822166323672665e-01
0.000000000000000000e+00 -6.841092500000000000e+05 7.631794328956647000e-01 6.910424223678449662e-01 2.572662740365089240e-01
0.000000000000000000e+00 -6.835417500000000000e+05 8.436645344413373770e-01 6.709281111504062922e-01 4.841407747984046717e-01
0.000000000000000000e+00 -6.793524375000000000e+05 7.157261325945747377e-01 8.722916423143515230e-01 3.123333775814698399e-01
0.000000000000000000e+00 -6.707421250000000000e+05 9.668530250577891394e-01 1.231841711664908301e-01 8.849037505995680508e-01
0.000000000000000000e+00 -6.665472500000000000e+05 8.520086992708612028e-01 6.942779869942589110e-01 8.758638095790262090e-01
0.000000000000000000e+00 -6.566898125000000000e+05 9.713851004475048123e-01 7.278956985392626144e-02 8.345586681498501358e-01
0.000000000000000000e+00 -6.543343125000000000e+05 7.164474413422253773e-01 6.776888545301682498e-01 1.447001079372545185e-01
0.000000000000000000e+00 -6.535507500000000000e+05 8.076339558904207516e-01 9.795356405881763262e-01 8.432654255980683855e-01
0.000000000000000000e+00 -6.497341875000000000e+05 8.299481394033000337e-01 8.041174298846063273e-01 7.615554297108949600e-01
0.000000000000000000e+00 -6.495550625000000000e+05 7.638881193443002315e-01 7.551194291082735655e-01 3.641182105094656896e-01
0.000000000000000000e+00 -6.475813125000000000e+05 8.033488812191130757e-01 8.070002018741536665e-01 9.643692139469893787e-01
0.000000000000000000e+00 -6.461413750000000000e+05 9.245510709077451317e-01 2.666081652994747309e-01 4.017643039967366825e-01
0.000000000000000000e+00 -6.440692500000000000e+05 8.090914226025140987e-01 8.868243128424871946e-01 8.667180838925150343e-01
0.000000000000000000e+00 -6.429407500000000000e+05 7.523229067011795168e-01 7.924503208726972892e-01 3.750909651975927739e-01
0.000000000000000000e+00 -6.410217500000000000e+05 8.441524381551999134e-01 5.517678115434906383e-01 3.993412314093917059e-01
0.000000000000000000e+00 -6.377562500000000000e+05 8.245957409891698786e-01 7.998684649707537009e-01 7.276923755351543122e-01
0.000000000000000000e+00 -6.332670000000000000e+05 7.973875789507793854e-01 9.713661208377790679e-01 6.888242593455132790e-01
0.000000000000000000e+00 -6.318270000000000000e+05 7.607754599793519201e-01 9.990295445965811094e-01 9.518479741922021287e-01
0.000000000000000000e+00 -6.294196875000000000e+05 8.313810589159185138e-01 7.375543306754485107e-01 8.701076866523562714e-01
0.000000000000000000e+00 -6.240933125000000000e+05 8.194737382010783833e-01 8.139521262053012185e-01 8.165096032976668639e-01
0.000000000000000000e+00 -6.222655000000000000e+05 8.075965306439074620e-01 8.538042435595176727e-01 8.536767090541437231e-01
0.000000000000000000e+00 -6.205510000000000000e+05 6.810320859098696333e-01 8.453241671377628164e-01 3.045659509855958014e-01
0.000000000000000000e+00 -6.150182500000000000e+05 7.911643239564819519e-01 9.485918082413674624e-01 7.687514153341880041e-01
0.000000000000000000e+00 -6.116301250000000000e+05 7.988256496146318719e-01 9.178061707773358391e-01 6.542563753478880528e-01
0.000000000000000000e+00 -6.006307500000000000e+05 8.511339655998682030e-01 6.429397591935440692e-01 6.398946354092646116e-01
0.000000000000000000e+00 -5.950907500000000000e+05 6.940977358098661121e-01 7.237170120214940772e-01 2.347545396654319161e-01
0.000000000000000000e+00 -5.937796875000000000e+05 9.108032358529650763e-01 1.584323369051591213e-01 6.384656788255060889e-03
0.000000000000000000e+00 -5.865556875000000000e+05 4.367365450259643733e-01 9.873986158176898398e-01 1.312188212739906490e-01
0.000000000000000000e+00 -5.833289375000000000e+05 7.254905558701296719e-01 8.396394551929605710e-01 4.271971882907625861e-01
0.000000000000000000e+00 -5.780285000000000000e+05 5.265374627739480839e-01 8.945102128296252841e-01 1.682955388837934496e-01
0.000000000000000000e+00 -5.764876875000000000e+05 7.656612417956278893e-01 9.288080148929818147e-01 5.572137468683664441e-01
0.000000000000000000e+00 -5.699631250000000000e+05 7.692995254499428448e-01 6.428265058291108280e-01 3.468238236436249622e-01
0.000000000000000000e+00 -5.687807500000000000e+05 4.278188808059447679e-01 8.927147197922959965e-01 1.666465564089114615e-03
0.000000000000000000e+00 -5.680280625000000000e+05 7.436612847659791470e-01 6.070366710446188918e-01 2.022503022980605136e-01
0.000000000000000000e+00 -5.580335000000000000e+05 9.059065079051826785e-01 4.058984628030005704e-01 8.542462702415068998e-01
0.000000000000000000e+00 -5.568143750000000000e+05 5.931231498280276071e-01 7.185614550494178188e-01 3.272393194655887072e-03
0.000000000000000000e+00 -5.560485625000000000e+05 6.594290796129776977e-01 7.194595534320181729e-01 2.022366562016455482e-01
0.000000000000000000e+00 -5.552449375000000000e+05 6.350917192242707676e-01 6.732934276594115808e-01 2.764658300401889868e-02
0.000000000000000000e+00 -5.465854375000000000e+05 6.845348568895462948e-01 6.855984597168228722e-01 2.164172182339525463e-01
0.000000000000000000e+00 -5.414292500000000000e+05 3.205268553998182890e-01 9.557221583685003852e-01 2.279170663491181248e-02
0.000000000000000000e+00 -5.409413125000000000e+05 7.198421603047552297e-01 9.557911629276598653e-01 5.333420508844022301e-01
0.000000000000000000e+00 -5.385251250000000000e+05 6.787232709609906101e-01 7.425982424919262970e-01 3.030062627824984256e-01
0.000000000000000000e+00 -5.374276875000000000e+05 6.757465301315603856e-01 9.221932633146413538e-01 4.537110988124749555e-01
0.000000000000000000e+00 -5.353294375000000000e+05 7.295689115425449955e-01 8.138554259510033528e-01 4.827963907829354584e-01
0.000000000000000000e+00 -5.343287500000000000e+05 6.035621015761224450e-01 7.519754515745193935e-01 1.717813616926298081e-01
0.000000000000000000e+00 -5.285536250000000000e+05 6.010569175412409093e-01 8.939243583485735334e-01 3.396073130788326289e-01
0.000000000000000000e+00 -5.251213125000000000e+05 7.390881194442112667e-01 9.379299799409642757e-01 6.559832970600218971e-01
0.000000000000000000e+00 -5.239576250000000000e+05 8.310896728560741575e-01 6.213506128439566512e-01 8.597025707747155687e-01
0.000000000000000000e+00 -5.230775625000000000e+05 7.055889063967192287e-01 9.881817136250563571e-01 9.073223560432328583e-01
0.000000000000000000e+00 -5.227681875000000000e+05 7.766717754313889888e-01 5.404707368820310665e-01 2.298713873793973850e-01
0.000000000000000000e+00 -5.215795312500000000e+05 7.808885130570718536e-01 7.905296802331907013e-01 6.098567370474912153e-01
0.000000000000000000e+00 -5.200116875000000000e+05 7.626536910794255997e-01 8.201943481062121677e-01 7.575111935273676211e-01
